Unnamed: 0,Rank & Title,IMDb Rating,Your Rating,Unnamed: 4
,114.  Metropolis  (1927),8.2,12345678910 NOT YET RELEASED  Seen,
,115.  Die Hard  (1988),8.2,12345678910 NOT YET RELEASED  Seen,
,116.  L.A. Confidential  (1997),8.2,12345678910 NOT YET RELEASED  Seen,
,117.  Indiana Jones and the Last Crusade  (1989),8.2,12345678910 NOT YET RELEASED  Seen,
,118.  Taxi Driver  (1976),8.2,12345678910 NOT YET RELEASED  Seen,
,119.  Snatch  (2000),8.2,12345678910 NOT YET RELEASED  Seen,
,120.  Bicycle Thieves  (1948),8.2,12345678910 NOT YET RELEASED  Seen,
,121.  Like Stars on Earth  (2007),8.2,12345678910 NOT YET RELEASED  Seen,
,122.  1917  (2019),8.2,12345678910 NOT YET RELEASED  Seen,
,123.  Top Gun: Maverick  (2022),8.2,12345678910 NOT YET RELEASED  Seen,
,124.  Downfall  (2004),8.2,12345678910 NOT YET RELEASED  Seen,
,125.  Dangal  (2016),8.2,12345678910 NOT YET RELEASED  Seen,
,126.  For a Few Dollars More  (1965),8.2,12345678910 NOT YET RELEASED  Seen,
,127.  Batman Begins  (2005),8.2,12345678910 NOT YET RELEASED  Seen,
,128.  The Kid  (1921),8.2,12345678910 NOT YET RELEASED  Seen,
,129.  Some Like It Hot  (1959),8.2,12345678910 NOT YET RELEASED  Seen,
,130.  The Father  (2020),8.2,12345678910 NOT YET RELEASED  Seen,
,131.  The Wolf of Wall Street  (2013),8.2,12345678910 NOT YET RELEASED  Seen,
,132.  All About Eve  (1950),8.2,12345678910 NOT YET RELEASED  Seen,
,133.  Green Book  (2018),8.2,12345678910 NOT YET RELEASED  Seen,
,134.  Judgment at Nuremberg  (1961),8.2,12345678910 NOT YET RELEASED  Seen,
,135.  Ran  (1985),8.2,12345678910 NOT YET RELEASED  Seen,
,136.  Casino  (1995),8.2,12345678910 NOT YET RELEASED  Seen,
,137.  The Truman Show  (1998),8.2,12345678910 NOT YET RELEASED  Seen,
,138.  There Will Be Blood  (2007),8.2,12345678910 NOT YET RELEASED  Seen,
,139.  Pan's Labyrinth  (2006),8.2,12345678910 NOT YET RELEASED  Seen,
,140.  Unforgiven  (1992),8.2,12345678910 NOT YET RELEASED  Seen,
,141.  Shutter Island  (2010),8.2,12345678910 NOT YET RELEASED  Seen,
,142.  The Sixth Sense  (1999),8.2,12345678910 NOT YET RELEASED  Seen,
,143.  Jurassic Park  (1993),8.2,12345678910 NOT YET RELEASED  Seen,
,144.  A Beautiful Mind  (2001),8.2,12345678910 NOT YET RELEASED  Seen,
,145.  Yojimbo  (1961),8.1,12345678910 NOT YET RELEASED  Seen,
,146.  The Treasure of the Sierra Madre  (1948),8.1,12345678910 NOT YET RELEASED  Seen,
,147.  Guardians of the Galaxy Vol. 3  (2023),8.1,12345678910 NOT YET RELEASED  Seen,
,148.  Monty Python and the Holy Grail  (1975),8.1,12345678910 NOT YET RELEASED  Seen,
,149.  No Country for Old Men  (2007),8.1,12345678910 NOT YET RELEASED  Seen,
,150.  Kill Bill: Vol. 1  (2003),8.1,12345678910 NOT YET RELEASED  Seen,
,151.  The Great Escape  (1963),8.1,12345678910 NOT YET RELEASED  Seen,
,152.  Rashomon  (1950),8.1,12345678910 NOT YET RELEASED  Seen,
,153.  The Thing  (1982),8.1,12345678910 NOT YET RELEASED  Seen,
,154.  Finding Nemo  (2003),8.1,12345678910 NOT YET RELEASED  Seen,
,155.  Spider-Man: No Way Home  (2021),8.1,12345678910 NOT YET RELEASED  Seen,
,156.  The Elephant Man  (1980),8.1,12345678910 NOT YET RELEASED  Seen,
,157.  Chinatown  (1974),8.1,12345678910 NOT YET RELEASED  Seen,
,158.  V for Vendetta  (2005),8.1,12345678910 NOT YET RELEASED  Seen,
,159.  Raging Bull  (1980),8.1,12345678910 NOT YET RELEASED  Seen,
,160.  Gone with the Wind  (1939),8.1,12345678910 NOT YET RELEASED  Seen,
,161.  Dial M for Murder  (1954),8.1,12345678910 NOT YET RELEASED  Seen,
,"162.  Lock, Stock and Two Smoking Barrels  (1998)",8.1,12345678910 NOT YET RELEASED  Seen,
,163.  Inside Out  (2015),8.1,12345678910 NOT YET RELEASED  Seen,
,164.  Howl's Moving Castle  (2004),8.1,12345678910 NOT YET RELEASED  Seen,
,165.  The Secret in Their Eyes  (2009),8.1,12345678910 NOT YET RELEASED  Seen,
,"166.  Three Billboards Outside Ebbing, Missouri  (2017)",8.1,12345678910 NOT YET RELEASED  Seen,
,167.  Trainspotting  (1996),8.1,12345678910 NOT YET RELEASED  Seen,
,168.  The Bridge on the River Kwai  (1957),8.1,12345678910 NOT YET RELEASED  Seen,
,169.  Prisoners  (2013),8.1,12345678910 NOT YET RELEASED  Seen,
,170.  Fargo  (1996),8.1,12345678910 NOT YET RELEASED  Seen,
,171.  Warrior  (2011),8.1,12345678910 NOT YET RELEASED  Seen,
,172.  Gran Torino  (2008),8.1,12345678910 NOT YET RELEASED  Seen,
,173.  Catch Me If You Can  (2002),8.1,12345678910 NOT YET RELEASED  Seen,
,174.  My Neighbor Totoro  (1988),8.1,12345678910 NOT YET RELEASED  Seen,
,175.  Million Dollar Baby  (2004),8.1,12345678910 NOT YET RELEASED  Seen,
,176.  Children of Heaven  (1997),8.1,12345678910 NOT YET RELEASED  Seen,
,177.  Blade Runner  (1982),8.1,12345678910 NOT YET RELEASED  Seen,
,178.  The Gold Rush  (1925),8.1,12345678910 NOT YET RELEASED  Seen,
,179.  Klaus  (2019),8.1,12345678910 NOT YET RELEASED  Seen,
,180.  Harry Potter and the Deathly Hallows: Part 2  (2011),8.1,12345678910 NOT YET RELEASED  Seen,
,181.  Before Sunrise  (1995),8.1,12345678910 NOT YET RELEASED  Seen,
,182.  12 Years a Slave  (2013),8.1,12345678910 NOT YET RELEASED  Seen,
,183.  Ben-Hur  (1959),8.1,12345678910 NOT YET RELEASED  Seen,
,184.  The Grand Budapest Hotel  (2014),8.1,12345678910 NOT YET RELEASED  Seen,
,185.  On the Waterfront  (1954),8.1,12345678910 NOT YET RELEASED  Seen,
,186.  Gone Girl  (2014),8.1,12345678910 NOT YET RELEASED  Seen,
,187.  The General  (1926),8.1,12345678910 NOT YET RELEASED  Seen,
,188.  Wild Strawberries  (1957),8.1,12345678910 NOT YET RELEASED  Seen,
,189.  Barry Lyndon  (1975),8.1,12345678910 NOT YET RELEASED  Seen,
,190.  In the Name of the Father  (1993),8.1,12345678910 NOT YET RELEASED  Seen,
,191.  The Deer Hunter  (1978),8.1,12345678910 NOT YET RELEASED  Seen,
,192.  Hacksaw Ridge  (2016),8.1,12345678910 NOT YET RELEASED  Seen,
,193.  The Third Man  (1949),8.1,12345678910 NOT YET RELEASED  Seen,
,194.  The Wages of Fear  (1953),8.1,12345678910 NOT YET RELEASED  Seen,
,195.  Memories of Murder  (2003),8.1,12345678910 NOT YET RELEASED  Seen,
,196.  Sherlock Jr.  (1924),8.1,12345678910 NOT YET RELEASED  Seen,
,197.  Wild Tales  (2014),8.1,12345678910 NOT YET RELEASED  Seen,
,198.  Mr. Smith Goes to Washington  (1939),8.1,12345678910 NOT YET RELEASED  Seen,
,199.  Mad Max: Fury Road  (2015),8.1,12345678910 NOT YET RELEASED  Seen,
,200.  Mary and Max  (2009),8.1,12345678910 NOT YET RELEASED  Seen,
,201.  How to Train Your Dragon  (2010),8.1,12345678910 NOT YET RELEASED  Seen,
,202.  Dead Poets Society  (1989),8.1,12345678910 NOT YET RELEASED  Seen,
,"203.  Monsters, Inc.  (2001)",8.1,12345678910 NOT YET RELEASED  Seen,
,204.  The Seventh Seal  (1957),8.1,12345678910 NOT YET RELEASED  Seen,
,205.  John Wick: Chapter 4  (2023),8.1,12345678910 NOT YET RELEASED  Seen,
,206.  Jaws  (1975),8.1,12345678910 NOT YET RELEASED  Seen,
,207.  Room  (2015),8.1,12345678910 NOT YET RELEASED  Seen,
,208.  The Big Lebowski  (1998),8.1,12345678910 NOT YET RELEASED  Seen,
,209.  Tokyo Story  (1953),8.1,12345678910 NOT YET RELEASED  Seen,
,210.  Ford v Ferrari  (2019),8.1,12345678910 NOT YET RELEASED  Seen,
,211.  The Passion of Joan of Arc  (1928),8.1,12345678910 NOT YET RELEASED  Seen,
,212.  Hotel Rwanda  (2004),8.0,12345678910 NOT YET RELEASED  Seen,
,213.  Rocky  (1976),8.0,12345678910 NOT YET RELEASED  Seen,
,214.  Ratatouille  (2007),8.0,12345678910 NOT YET RELEASED  Seen,
,215.  Platoon  (1986),8.0,12345678910 NOT YET RELEASED  Seen,
,216.  Logan  (2017),8.0,12345678910 NOT YET RELEASED  Seen,
,217.  Spotlight  (2015),8.0,12345678910 NOT YET RELEASED  Seen,
,218.  The Terminator  (1984),8.0,12345678910 NOT YET RELEASED  Seen,
,219.  Stand by Me  (1986),8.0,12345678910 NOT YET RELEASED  Seen,
,220.  Rush  (2013),8.0,12345678910 NOT YET RELEASED  Seen,
,221.  Network  (1976),8.0,12345678910 NOT YET RELEASED  Seen,
,222.  Before Sunset  (2004),8.0,12345678910 NOT YET RELEASED  Seen,
,223.  The Wizard of Oz  (1939),8.0,12345678910 NOT YET RELEASED  Seen,
,224.  Into the Wild  (2007),8.0,12345678910 NOT YET RELEASED  Seen,
,225.  The Best Years of Our Lives  (1946),8.0,12345678910 NOT YET RELEASED  Seen,
,226.  The Exorcist  (1973),8.0,12345678910 NOT YET RELEASED  Seen,
,227.  Groundhog Day  (1993),8.0,12345678910 NOT YET RELEASED  Seen,
,228.  The Incredibles  (2004),8.0,12345678910 NOT YET RELEASED  Seen,
,229.  La haine  (1995),8.0,12345678910 NOT YET RELEASED  Seen,
,230.  To Be or Not to Be  (1942),8.0,12345678910 NOT YET RELEASED  Seen,
,231.  Pirates of the Caribbean: The Curse of the Black Pearl  (2003),8.0,12345678910 NOT YET RELEASED  Seen,
,232.  Hachi: A Dog's Tale  (2009),8.0,12345678910 NOT YET RELEASED  Seen,
,233.  The Grapes of Wrath  (1940),8.0,12345678910 NOT YET RELEASED  Seen,
,234.  The Battle of Algiers  (1966),8.0,12345678910 NOT YET RELEASED  Seen,
,235.  Pather Panchali  (1955),8.0,12345678910 NOT YET RELEASED  Seen,
,236.  Jai Bhim  (2021),8.0,12345678910 NOT YET RELEASED  Seen,
,237.  Amores Perros  (2000),8.0,12345678910 NOT YET RELEASED  Seen,
,238.  My Father and My Son  (2005),8.0,12345678910 NOT YET RELEASED  Seen,
,239.  The Handmaiden  (2016),8.0,12345678910 NOT YET RELEASED  Seen,
,240.  Rebecca  (1940),8.0,12345678910 NOT YET RELEASED  Seen,
,241.  Cool Hand Luke  (1967),8.0,12345678910 NOT YET RELEASED  Seen,
,242.  The Sound of Music  (1965),8.0,12345678910 NOT YET RELEASED  Seen,
,243.  The 400 Blows  (1959),8.0,12345678910 NOT YET RELEASED  Seen,
,244.  It Happened One Night  (1934),8.0,12345678910 NOT YET RELEASED  Seen,
,245.  Persona  (1966),8.0,12345678910 NOT YET RELEASED  Seen,
,246.  Life of Brian  (1979),8.0,12345678910 NOT YET RELEASED  Seen,
,247.  The Iron Giant  (1999),8.0,12345678910 NOT YET RELEASED  Seen,
,248.  The Help  (2011),8.0,12345678910 NOT YET RELEASED  Seen,
,249.  Aladdin  (1992),8.0,12345678910 NOT YET RELEASED  Seen,
,250.  Dances with Wolves  (1990),8.0,12345678910 NOT YET RELEASED  Seen,
